Rating_1,Rating_2,Rating_3,Rating_4,Rating_5,Standard_deviation,Majority_label
1,0,1,1,1,0.447,1.0
1,1,1,1,2,0.447,1.0
2,2,2,2,2,0.0,2.0
0,0,0,0,0,0.0,0.0
0,1,1,0,1,0.548,1.0
0,0,0,0,0,0.0,0.0
1,1,1,1,1,0.0,1.0
2,2,2,2,2,0.0,2.0
0,0,0,0,0,0.0,0.0
0,0,0,0,0,0.0,0.0
1,2,1,1,1,0.447,1.0
2,2,2,2,2,0.0,2.0
2,2,2,2,2,0.0,2.0
2,0,2,2,2,0.894,2.0
1,2,1,2,2,0.548,2.0
1,2,2,2,2,0.447,2.0
0,0,0,0,0,0.0,0.0
2,2,2,2,2,0.0,2.0
0,0,1,0,0,0.447,0.0
2,2,2,2,2,0.0,2.0
1,2,1,1,1,0.447,1.0
0,0,0,0,0,0.0,0.0
2,2,2,2,2,0.0,2.0
1,1,1,1,1,0.0,1.0
0,0,0,0,0,0.0,0.0
1,1,1,2,1,0.447,1.0
1,2,1,2,1,0.548,1.0
1,2,2,2,2,0.447,2.0
2,2,2,2,2,0.0,2.0
0,0,0,0,0,0.0,0.0
0,0,0,0,0,0.0,0.0
0,1,1,1,0,0.548,1.0
1,1,1,1,1,0.0,1.0
1,2,1,1,2,0.548,1.0
1,1,2,2,2,0.548,2.0
2,2,2,1,2,0.447,2.0
0,0,0,0,0,0.0,0.0
0,0,0,0,0,0.0,0.0
1,1,1,0,0,0.548,1.0
0,0,0,0,0,0.0,0.0
0,0,0,0,0,0.0,0.0
0,0,0,0,0,0.0,0.0
1,2,1,0,1,0.707,1.0
2,2,2,1,2,0.447,2.0
0,0,0,1,0,0.447,0.0
0,0,0,0,0,0.0,0.0
0,0,1,0,0,0.447,0.0
2,2,2,1,2,0.447,2.0
0,0,0,0,0,0.0,0.0
0,1,1,1,1,0.447,1.0
2,2,2,2,2,0.0,2.0
2,2,2,2,2,0.0,2.0
1,1,2,2,1,0.548,1.0
2,2,2,2,2,0.0,2.0
2,2,2,1,2,0.447,2.0
0,0,0,0,0,0.0,0.0
1,2,2,1,1,0.548,1.0
0,0,1,0,0,0.447,0.0
1,2,1,1,1,0.447,1.0
0,0,0,0,0,0.0,0.0
1,2,1,1,0,0.707,1.0
1,1,1,1,1,0.0,1.0
0,0,0,0,0,0.0,0.0
1,1,1,1,1,0.0,1.0
0,0,1,0,0,0.447,0.0
0,0,0,0,0,0.0,0.0
0,0,0,0,0,0.0,0.0
1,2,1,0,2,0.837,-1.0
1,2,1,1,1,0.447,1.0
1,0,1,1,1,0.447,1.0
0,0,0,1,0,0.447,0.0
0,0,0,2,0,0.894,0.0
1,2,1,1,1,0.447,1.0
1,2,1,0,1,0.707,1.0
0,0,0,0,0,0.0,0.0
2,2,2,2,2,0.0,2.0
1,1,1,0,1,0.447,1.0
1,1,1,1,1,0.0,1.0
1,1,1,2,1,0.447,1.0
0,0,0,0,0,0.0,0.0
1,2,1,1,1,0.447,1.0
2,2,2,1,1,0.548,2.0
1,1,1,2,2,0.548,1.0
0,0,0,0,0,0.0,0.0
2,2,2,2,2,0.0,2.0
2,2,2,2,2,0.0,2.0
0,0,0,0,0,0.0,0.0
2,2,2,1,1,0.548,2.0
1,1,1,1,1,0.0,1.0
0,0,0,0,0,0.0,0.0
1,2,2,2,1,0.548,2.0
0,0,0,0,0,0.0,0.0
1,1,2,2,2,0.548,2.0
0,0,0,1,0,0.447,0.0
1,0,1,1,1,0.447,1.0
2,2,2,2,2,0.0,2.0
1,1,1,0,1,0.447,1.0
2,2,2,2,2,0.0,2.0
1,2,1,2,1,0.548,1.0
2,0,2,2,2,0.894,2.0
0,0,0,0,0,0.0,0.0
1,1,1,2,1,0.447,1.0
2,2,2,2,2,0.0,2.0
0,0,0,0,0,0.0,0.0
2,2,2,2,2,0.0,2.0
0,0,0,0,0,0.0,0.0
0,0,0,0,0,0.0,0.0
1,2,1,0,1,0.707,1.0
2,2,2,1,2,0.447,2.0
2,2,2,2,2,0.0,2.0
1,1,1,2,1,0.447,1.0
0,0,0,0,0,0.0,0.0
1,0,0,2,0,0.894,0.0
1,1,1,1,1,0.0,1.0
0,0,0,0,0,0.0,0.0
1,2,2,2,2,0.447,2.0
1,1,1,1,1,0.0,1.0
0,0,0,0,0,0.0,0.0
1,1,1,2,1,0.447,1.0
0,0,0,0,0,0.0,0.0
0,0,0,0,0,0.0,0.0
0,0,0,0,0,0.0,0.0
1,1,1,1,1,0.0,1.0
1,1,2,1,1,0.447,1.0
0,0,0,0,0,0.0,0.0
1,2,1,2,1,0.548,1.0
1,1,1,1,1,0.0,1.0
1,0,1,1,1,0.447,1.0
0,0,0,0,0,0.0,0.0
0,0,0,0,0,0.0,0.0
0,0,0,0,0,0.0,0.0
1,1,1,2,1,0.447,1.0
1,1,1,2,1,0.447,1.0
1,1,1,2,1,0.447,1.0
2,2,2,2,2,0.0,2.0
1,1,1,0,1,0.447,1.0
1,1,1,2,1,0.447,1.0
0,0,0,0,0,0.0,0.0
0,0,0,0,1,0.447,0.0
2,2,2,2,2,0.0,2.0
2,2,2,2,2,0.0,2.0
1,1,1,1,1,0.0,1.0
0,0,0,0,0,0.0,0.0
0,0,0,0,0,0.0,0.0
0,0,0,0,1,0.447,0.0
1,1,1,0,1,0.447,1.0
0,0,0,0,0,0.0,0.0
1,0,1,0,1,0.548,1.0
1,0,1,0,1,0.548,1.0
0,0,0,0,0,0.0,0.0
1,2,2,0,1,0.837,-1.0
1,2,2,1,1,0.548,1.0
0,0,0,0,0,0.0,0.0
0,0,0,0,0,0.0,0.0
1,0,1,0,1,0.548,1.0
1,0,1,1,1,0.447,1.0
2,2,2,1,2,0.447,2.0
2,2,2,2,2,0.0,2.0
0,0,0,2,0,0.894,0.0
1,0,1,0,1,0.548,1.0
1,1,1,1,2,0.447,1.0
1,2,2,2,1,0.548,2.0
0,0,0,2,1,0.894,0.0
1,1,1,0,1,0.447,1.0
1,1,1,1,1,0.0,1.0
1,1,1,1,2,0.447,1.0
2,2,2,1,2,0.447,2.0
2,2,1,0,1,0.837,-1.0
1,2,1,1,2,0.548,1.0
2,2,2,1,2,0.447,2.0
1,2,2,2,2,0.447,2.0
1,2,2,2,1,0.548,2.0
1,0,1,2,0,0.837,-1.0
0,0,0,0,0,0.0,0.0
1,2,2,0,1,0.837,-1.0
0,0,0,1,0,0.447,0.0
0,1,1,0,0,0.548,0.0
0,1,1,1,1,0.447,1.0
2,2,2,2,2,0.0,2.0
0,0,0,2,0,0.894,0.0
0,0,0,0,0,0.0,0.0
2,2,2,0,2,0.894,2.0
0,0,0,2,0,0.894,0.0
1,1,1,0,1,0.447,1.0
2,2,2,0,2,0.894,2.0
2,2,2,2,1,0.447,2.0
0,0,0,1,0,0.447,0.0
0,0,0,0,0,0.0,0.0
0,0,0,0,0,0.0,0.0
1,1,1,0,1,0.447,1.0
1,2,1,0,1,0.707,1.0
2,2,2,0,1,0.894,2.0
1,2,0,2,1,0.837,-1.0
1,1,1,0,0,0.548,1.0
0,0,0,1,0,0.447,0.0
1,1,1,0,2,0.707,1.0
2,2,2,0,2,0.894,2.0
2,2,2,0,2,0.894,2.0
0,0,0,0,0,0.0,0.0
2,1,2,0,1,0.837,-1.0
