mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__metric,param_clf__n_neighbors,param_clf__p,param_clf__weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.008139467239379883,0.0015516418990992222,0.04563937187194824,0.0017689103035002087,euclidean,3,1,uniform,"{'clf__metric': 'euclidean', 'clf__n_neighbors': 3, 'clf__p': 1, 'clf__weights': 'uniform'}",0.4740740740740741,0.49606299212598426,0.5555555555555556,0.5360824742268041,0.5140562248995983,0.5151662641764032,0.02871765303299309,29
0.008521938323974609,0.0014304079224935822,0.02897162437438965,0.0037702906194687588,euclidean,3,1,distance,"{'clf__metric': 'euclidean', 'clf__n_neighbors': 3, 'clf__p': 1, 'clf__weights': 'distance'}",0.47191011235955055,0.4980544747081712,0.5460992907801419,0.541095890410959,0.5220883534136547,0.5158496243344954,0.027708071294188626,25
0.013344192504882812,0.0026178782690696846,0.06505680084228516,0.00900322217220862,euclidean,3,2,uniform,"{'clf__metric': 'euclidean', 'clf__n_neighbors': 3, 'clf__p': 2, 'clf__weights': 'uniform'}",0.4740740740740741,0.49606299212598426,0.5555555555555556,0.5360824742268041,0.5140562248995983,0.5151662641764032,0.02871765303299309,29
0.007215976715087891,0.00084914941029122,0.02513914108276367,0.0018065741034311545,euclidean,3,2,distance,"{'clf__metric': 'euclidean', 'clf__n_neighbors': 3, 'clf__p': 2, 'clf__weights': 'distance'}",0.47191011235955055,0.4980544747081712,0.5460992907801419,0.541095890410959,0.5220883534136547,0.5158496243344954,0.027708071294188626,25
0.008091449737548828,0.002671940254093496,0.05453591346740723,0.00475734609382993,euclidean,5,1,uniform,"{'clf__metric': 'euclidean', 'clf__n_neighbors': 5, 'clf__p': 1, 'clf__weights': 'uniform'}",0.5037037037037037,0.5275590551181102,0.5428571428571428,0.5898305084745763,0.5469387755102041,0.5421778371327474,0.028241362598928683,17
0.00676579475402832,0.0008192207731482863,0.033320045471191405,0.004467658074152002,euclidean,5,1,distance,"{'clf__metric': 'euclidean', 'clf__n_neighbors': 5, 'clf__p': 1, 'clf__weights': 'distance'}",0.4830188679245283,0.4980237154150198,0.5539568345323741,0.6013513513513513,0.5365853658536586,0.5345872270153864,0.042030485584635284,23
0.0065781593322753905,0.0008817637660282543,0.05381999015808105,0.008962521558964572,euclidean,5,2,uniform,"{'clf__metric': 'euclidean', 'clf__n_neighbors': 5, 'clf__p': 2, 'clf__weights': 'uniform'}",0.5037037037037037,0.5275590551181102,0.5428571428571428,0.5898305084745763,0.5469387755102041,0.5421778371327474,0.028241362598928683,17
0.007033824920654297,0.0011161948280193298,0.023628616333007814,0.0023849566767881127,euclidean,5,2,distance,"{'clf__metric': 'euclidean', 'clf__n_neighbors': 5, 'clf__p': 2, 'clf__weights': 'distance'}",0.4830188679245283,0.4980237154150198,0.5539568345323741,0.6013513513513513,0.5365853658536586,0.5345872270153864,0.042030485584635284,23
0.00731353759765625,0.0016568134274631005,0.05537557601928711,0.0028838841292590446,euclidean,7,1,uniform,"{'clf__metric': 'euclidean', 'clf__n_neighbors': 7, 'clf__p': 1, 'clf__weights': 'uniform'}",0.5147058823529411,0.5176470588235295,0.5486111111111112,0.584192439862543,0.5583333333333333,0.5446979650966917,0.02604736483107969,13
0.007275915145874024,0.001275957792950889,0.029389142990112305,0.004815004311978086,euclidean,7,1,distance,"{'clf__metric': 'euclidean', 'clf__n_neighbors': 7, 'clf__p': 1, 'clf__weights': 'distance'}",0.5092250922509225,0.49606299212598426,0.5555555555555556,0.5938566552901023,0.5447154471544715,0.5398831484754073,0.03476273121041283,21
0.006364297866821289,0.0005081113170177214,0.04627766609191895,0.003294199345123367,euclidean,7,2,uniform,"{'clf__metric': 'euclidean', 'clf__n_neighbors': 7, 'clf__p': 2, 'clf__weights': 'uniform'}",0.5147058823529411,0.5176470588235295,0.5486111111111112,0.584192439862543,0.5583333333333333,0.5446979650966917,0.02604736483107969,13
0.006424665451049805,0.0007800499481185962,0.02784247398376465,0.0029025359181368516,euclidean,7,2,distance,"{'clf__metric': 'euclidean', 'clf__n_neighbors': 7, 'clf__p': 2, 'clf__weights': 'distance'}",0.5092250922509225,0.49606299212598426,0.5555555555555556,0.5938566552901023,0.5447154471544715,0.5398831484754073,0.03476273121041283,21
0.007397747039794922,0.0011065450935576768,0.04739766120910645,0.00220134509455175,euclidean,11,1,uniform,"{'clf__metric': 'euclidean', 'clf__n_neighbors': 11, 'clf__p': 1, 'clf__weights': 'uniform'}",0.5611510791366906,0.5151515151515151,0.5674740484429066,0.5874125874125874,0.5506072874493927,0.5563593035186185,0.023841026067994545,3
0.007596206665039062,0.0007102201490527983,0.02418942451477051,0.001744706875892971,euclidean,11,1,distance,"{'clf__metric': 'euclidean', 'clf__n_neighbors': 11, 'clf__p': 1, 'clf__weights': 'distance'}",0.5454545454545454,0.5173745173745173,0.5605536332179931,0.5830508474576271,0.5691056910569106,0.5551078469123187,0.022465074652452965,5
0.007894659042358398,0.0022249047999759867,0.04988064765930176,0.0032499352498548376,euclidean,11,2,uniform,"{'clf__metric': 'euclidean', 'clf__n_neighbors': 11, 'clf__p': 2, 'clf__weights': 'uniform'}",0.5611510791366906,0.5151515151515151,0.5674740484429066,0.5874125874125874,0.5506072874493927,0.5563593035186185,0.023841026067994545,3
0.0067059993743896484,0.00046664717812254134,0.024486398696899413,0.0010846798856615374,euclidean,11,2,distance,"{'clf__metric': 'euclidean', 'clf__n_neighbors': 11, 'clf__p': 2, 'clf__weights': 'distance'}",0.5454545454545454,0.5173745173745173,0.5605536332179931,0.5830508474576271,0.5691056910569106,0.5551078469123187,0.022465074652452965,5
0.007466506958007812,0.0017219790971660489,0.04990077018737793,0.0022537138597872454,manhattan,3,1,uniform,"{'clf__metric': 'manhattan', 'clf__n_neighbors': 3, 'clf__p': 1, 'clf__weights': 'uniform'}",0.48727272727272725,0.4980544747081712,0.5328467153284672,0.5547945205479452,0.5060240963855421,0.5157985068485706,0.024639157346486983,27
0.006975412368774414,0.0013568515078319745,0.026196813583374022,0.0034653268936976588,manhattan,3,1,distance,"{'clf__metric': 'manhattan', 'clf__n_neighbors': 3, 'clf__p': 1, 'clf__weights': 'distance'}",0.4852941176470588,0.48412698412698413,0.5204460966542751,0.5675675675675675,0.512,0.5138869531991771,0.030434839635840524,31
0.006577444076538086,0.0006336093019563093,0.04615764617919922,0.003041739879419059,manhattan,3,2,uniform,"{'clf__metric': 'manhattan', 'clf__n_neighbors': 3, 'clf__p': 2, 'clf__weights': 'uniform'}",0.48727272727272725,0.4980544747081712,0.5328467153284672,0.5547945205479452,0.5060240963855421,0.5157985068485706,0.024639157346486983,27
0.006239175796508789,0.0008798961230889612,0.02178354263305664,0.0009859668866063786,manhattan,3,2,distance,"{'clf__metric': 'manhattan', 'clf__n_neighbors': 3, 'clf__p': 2, 'clf__weights': 'distance'}",0.4852941176470588,0.48412698412698413,0.5204460966542751,0.5675675675675675,0.512,0.5138869531991771,0.030434839635840524,31
0.006743478775024414,0.0010419402273671538,0.04741716384887695,0.003794451795003989,manhattan,5,1,uniform,"{'clf__metric': 'manhattan', 'clf__n_neighbors': 5, 'clf__p': 1, 'clf__weights': 'uniform'}",0.5055762081784386,0.5271317829457365,0.5531914893617021,0.6054421768707483,0.528,0.5438683314713251,0.03428253904491853,15
0.005988645553588867,0.000264633212831613,0.02511434555053711,0.002820655081206888,manhattan,5,1,distance,"{'clf__metric': 'manhattan', 'clf__n_neighbors': 5, 'clf__p': 1, 'clf__weights': 'distance'}",0.49070631970260226,0.5038759689922481,0.5467625899280576,0.6148648648648649,0.5476190476190477,0.5407657582213641,0.043452068088030094,19
0.006500673294067383,0.000551802263972175,0.04794254302978516,0.002490150066053289,manhattan,5,2,uniform,"{'clf__metric': 'manhattan', 'clf__n_neighbors': 5, 'clf__p': 2, 'clf__weights': 'uniform'}",0.5055762081784386,0.5271317829457365,0.5531914893617021,0.6054421768707483,0.528,0.5438683314713251,0.03428253904491853,15
0.0064162731170654295,0.0003246075179787171,0.024152565002441406,0.0010816416838492773,manhattan,5,2,distance,"{'clf__metric': 'manhattan', 'clf__n_neighbors': 5, 'clf__p': 2, 'clf__weights': 'distance'}",0.49070631970260226,0.5038759689922481,0.5467625899280576,0.6148648648648649,0.5476190476190477,0.5407657582213641,0.043452068088030094,19
0.006319808959960938,0.00016612348258795585,0.04754595756530762,0.002378034354073714,manhattan,7,1,uniform,"{'clf__metric': 'manhattan', 'clf__n_neighbors': 7, 'clf__p': 1, 'clf__weights': 'uniform'}",0.5217391304347826,0.5275590551181102,0.5512367491166078,0.5821917808219178,0.5691699604743083,0.5503793351931453,0.02326749219525312,11
0.006390285491943359,0.00038396876257761433,0.02512059211730957,0.0019373280083366312,manhattan,7,1,distance,"{'clf__metric': 'manhattan', 'clf__n_neighbors': 7, 'clf__p': 1, 'clf__weights': 'distance'}",0.5185185185185185,0.5296442687747036,0.5435540069686411,0.5898305084745763,0.5748031496062992,0.5512700904685477,0.026983662771721605,7
0.006477975845336914,0.00040420464094053445,0.04736900329589844,0.0013562937891533043,manhattan,7,2,uniform,"{'clf__metric': 'manhattan', 'clf__n_neighbors': 7, 'clf__p': 2, 'clf__weights': 'uniform'}",0.5217391304347826,0.5275590551181102,0.5512367491166078,0.5821917808219178,0.5691699604743083,0.5503793351931453,0.02326749219525312,11
0.006483745574951172,0.0006602737699852337,0.024904489517211914,0.002800354353780985,manhattan,7,2,distance,"{'clf__metric': 'manhattan', 'clf__n_neighbors': 7, 'clf__p': 2, 'clf__weights': 'distance'}",0.5185185185185185,0.5296442687747036,0.5435540069686411,0.5898305084745763,0.5748031496062992,0.5512700904685477,0.026983662771721605,7
0.0063286304473876955,0.0003686420144361375,0.04524078369140625,0.002121132228798783,manhattan,11,1,uniform,"{'clf__metric': 'manhattan', 'clf__n_neighbors': 11, 'clf__p': 1, 'clf__weights': 'uniform'}",0.5488721804511278,0.5227272727272727,0.5694915254237288,0.5693950177935944,0.5806451612903226,0.5582262315372092,0.02050332359582756,1
0.0063091754913330075,0.00038431047452356103,0.023106479644775392,0.0014247657031518492,manhattan,11,1,distance,"{'clf__metric': 'manhattan', 'clf__n_neighbors': 11, 'clf__p': 1, 'clf__weights': 'distance'}",0.5055762081784386,0.5343511450381679,0.5586206896551724,0.5821917808219178,0.5725806451612904,0.5506640937709975,0.027700784888720353,9
0.006390285491943359,0.0005202932213670717,0.04471545219421387,0.0035979736804739306,manhattan,11,2,uniform,"{'clf__metric': 'manhattan', 'clf__n_neighbors': 11, 'clf__p': 2, 'clf__weights': 'uniform'}",0.5488721804511278,0.5227272727272727,0.5694915254237288,0.5693950177935944,0.5806451612903226,0.5582262315372092,0.02050332359582756,1
0.006609487533569336,0.0004649431612088039,0.023129940032958984,0.0010148717142846686,manhattan,11,2,distance,"{'clf__metric': 'manhattan', 'clf__n_neighbors': 11, 'clf__p': 2, 'clf__weights': 'distance'}",0.5055762081784386,0.5343511450381679,0.5586206896551724,0.5821917808219178,0.5725806451612904,0.5506640937709975,0.027700784888720353,9
